Area,Bedrooms,Age,Location,Price
208,1,22.0,North,998000
164,3,31.0,East,864000
370,4,30.0,South,3408000
212,1,4.0,South,1272000
134,2,5.0,East,1523000
129,4,28.0,South,1217000
454,1,,South,3446000
451,2,15.0,North,4532000
444,3,16.0,North,4760000
50,3,21.0,South,500000
434,4,2.0,South,4552000
276,5,21.0,East,2053000
213,5,29.0,North,1172000
169,1,4.0,North,893000
168,3,21.0,North,934000
206,5,7.0,East,1632000
475,4,20.0,North,5183000
341,3,20.0,South,2221000
391,5,20.0,East,3445000
223,2,14.0,North,1140000
394,4,2.0,South,4091000
494,1,8.0,East,3524000
264,3,7.0,North,2311000
137,2,22.0,South,1335000
293,2,38.0,East,1338000
445,5,13.0,North,5062000
426,3,13.0,South,3880000
61,4,24.0,East,658000
423,5,14.0,South,4104000
456,4,16.0,South,4132000
462,1,6.0,North,4585000
470,5,28.0,South,4465000
372,4,38.0,North,3993000
143,1,4.0,South,1309000
409,2,39.0,North,3974000
411,5,3.0,East,13370000
360,3,19.0,East,2813000
220,4,11.0,North,1359000
300,1,30.0,South,1662000
442,4,36.0,North,4716000
216,1,16.0,South,1123000
140,3,2.0,North,1837000
195,2,10.0,South,1225000
194,1,8.0,North,1009000
121,2,2.0,South,1588000
168,2,31.0,South,820000
106,4,5.0,South,1213000
295,4,6.0,East,2096000
310,5,8.0,North,2955000
304,2,32.0,South,1841000
224,2,39.0,South,1072000
117,3,19.0,South,1184000
290,2,39.0,South,1732000
265,4,24.0,South,7105000
480,2,37.0,South,3892000
334,2,21.0,North,2509000
222,2,33.0,North,1005000
342,3,29.0,South,2209000
81,2,10.0,South,861000
354,4,19.0,South,3348000
90,3,25.0,East,849000
172,1,21.0,South,820000
455,2,27.0,North,4554000
237,1,20.0,North,1081000
305,1,23.0,South,1696000
370,2,3.0,North,3961000
78,5,26.0,East,882000
57,5,22.0,East,747000
93,5,38.0,East,912000
396,3,29.0,South,3437000
183,5,26.0,East,1231000
382,2,30.0,North,3792000
371,4,21.0,North,4177000
263,1,9.0,South,1573000
139,1,27.0,South,1141000
230,2,2.0,South,1843000
139,3,39.0,North,1052000
428,1,23.0,North,4125000
71,2,11.0,North,87000
152,1,35.0,North,569000
157,4,18.0,North,949000
426,4,31.0,South,3859000
215,3,32.0,South,1181000
331,4,15.0,East,2141000
432,3,36.0,East,3130000
118,5,30.0,South,1242000
463,3,15.0,South,4056000
200,2,15.0,East,1273000
82,1,11.0,East,803000
369,2,9.0,South,3199000
276,5,35.0,East,1857000
60,1,16.0,East,492000
383,4,32.0,North,4200000
213,5,12.0,East,1647000
467,3,14.0,North,5004000
88,3,11.0,South,930000
409,3,29.0,East,3054000
162,5,35.0,South,979000
457,4,18.0,North,5048000
50,3,16.0,South,468000
132,5,21.0,North,1272000
312,4,25.0,North,2625000
451,2,34.0,East,3157000
308,1,10.0,South,1814000
64,1,27.0,South,441000
224,1,17.0,South,1136000
372,1,7.0,East,2675000
337,3,22.0,East,292350
442,4,38.0,North,4690000
127,4,27.0,South,1252000
219,2,3.0,South,1296000
204,1,13.0,North,1009000
153,3,9.0,South,1042000
324,2,25.0,South,1942000
390,1,14.0,East,2751000
73,2,13.0,East,845000
233,3,8.0,North,1380000
462,3,38.0,North,4682000
398,2,20.0,South,3374000
429,1,30.0,North,4059000
257,5,39.0,North,2316000
351,5,20.0,South,3588000
403,5,16.0,North,4770000
498,1,32.0,East,3215000
307,5,25.0,East,2151000
330,2,3.0,North,2689000
153,3,21.0,South,901000
364,1,5.0,East,2687000
342,3,33.0,East,285750
92,4,8.0,North,972000
97,4,29.0,North,869000
392,2,13.0,East,2953000
477,1,39.0,East,2974000
435,3,,North,4455000
134,5,29.0,South,1374000
250,1,33.0,South,1289000
393,2,12.0,East,3069000
224,4,11.0,North,1382000
357,5,1.0,South,4068000
431,3,21.0,East,3334000
77,1,27.0,South,610000
341,2,28.0,North,2498000
256,5,33.0,North,2298000
200,3,1.0,North,1603000
166,3,12.0,East,1070000
139,1,25.0,North,1061000
167,1,6.0,North,888000
239,3,35.0,North,1115000
489,2,10.0,North,5005000
331,2,25.0,North,2385000
80,2,,North,611000
156,5,22.0,South,1062000
126,1,17.0,South,1080000
491,2,38.0,South,4024000
480,3,,North,4974000
393,2,,North,3867000
408,4,6.0,South,3840000
299,3,16.0,East,1882000
298,1,13.0,East,1519000
493,2,14.0,North,5054000
138,1,1.0,North,1682000
392,1,30.0,East,2643000
205,1,17.0,East,1164000
436,4,34.0,South,3883000
356,4,33.0,East,2745000
452,4,0.0,East,4315000
413,3,19.0,South,3630000
67,1,28.0,East,427000
102,5,5.0,North,1143000
54,1,20.0,North,383000
139,4,19.0,North,1291000
271,1,1.0,North,2419000
381,3,15.0,East,3091000
151,3,15.0,North,817000
304,1,17.0,South,1693000
273,2,9.0,North,2273000
108,5,25.0,North,1032000
53,5,33.0,South,605000
464,2,2.0,North,5251000
298,5,38.0,South,2305000
281,2,0.0,South,2341000
112,3,28.0,North,950000
50,1,0.0,South,944000
414,2,8.0,North,4312000
170,3,6.0,North,977000
129,4,28.0,North,1144000
494,1,28.0,North,4813000
295,1,32.0,North,8265600
150,2,17.0,East,918000
94,2,21.0,East,939000
191,1,33.0,North,754000
